M,Day,Year,Duration,Start,End,M end,Day end,Year End,
1,25,2021,Starts,25-01-2021,30-01-2021,1,30,2021,0
1,30,2021,Ends,30-01-2021,,,,,1
2,21,2021,Starts,21-02-2021,27-02-2021,2,27,2021,0
2,27,2021,Ends,27-02-2021,,,,,1
3,20,2021,Starts,20-03-2021,26-03-2021,3,26,2021,0
3,26,2021,Ends,26-03-2021,,,,,1
4,15,2021,Starts,15-04-2021,20-04-2021,4,20,2021,0
4,20,2021,Ends,20-04-2021,,,,,1
5,13,2021,Starts,13-05-2021,18-05-2021,5,18,2021,0
5,18,2021,Ends,18-05-2021,,,,,1
6,10,2021,Starts,10-06-2021,16-06-2021,6,16,2021,0
6,16,2021,Ends,16-06-2021,,,,,1
7,8,2021,Starts,08-07-2021,13-07-2021,7,13,2021,0
7,13,2021,Ends,13-07-2021,,,,,1
8,6,2021,Starts,06-08-2021,12-08-2021,8,12,2021,0
8,12,2021,Ends,12-08-2021,,,,,1
9,4,2021,Starts,04-09-2021,10-09-2021,9,10,2021,0
9,10,2021,Ends,10-09-2021,,,,,1
10,4,2021,Starts,04-10-2021,10-10-2021,10,10,2021,0
10,10,2021,Ends,10-10-2021,,,,,1
11,2,2021,Starts,02-11-2021,08-11-2021,11,8,2021,0
11,8,2021,Ends,08-11-2021,,,,,1
11,28,2021,Starts,28-11-2021,03-12-2021,12,3,2021,0
12,3,2021,Ends,03-12-2021,,,,,1
12,24,2021,Starts,24-12-2021,29-12-2021,12,29,2021,0
12,29,2021,Ends,29-12-2021,,,,,1
1,23,2022,Starts,23-01-2022,28-01-2022,1,28,2022,0
1,28,2022,Ends,28-01-2022,,,,,1
2,21,2022,Starts,21-02-2022,26-02-2022,2,26,2022,0
2,26,2022,Ends,26-02-2022,,,,,1
3,22,2022,Starts,22-03-2022,27-03-2022,3,27,2022,0
3,27,2022,Ends,27-03-2022,,,,,1
4,17,2022,Starts,17-04-2022,22-04-2022,4,22,2022,0
4,22,2022,Ends,22-04-2022,,,,,1
5,17,2022,Starts,17-05-2022,22-05-2022,5,22,2022,0
5,22,2022,Ends,22-05-2022,,,,,1
6,16,2022,Starts,16-06-2022,21-06-2022,6,21,2022,0
6,21,2022,Ends,21-06-2022,,,,,1
7,13,2022,Starts,13-07-2022,18-07-2022,7,18,2022,0
7,18,2022,Ends,18-07-2022,,,,,1
8,8,2022,Starts,08-08-2022,14-08-2022,8,14,2022,0
8,14,2022,Ends,14-08-2022,,,,,1
9,7,2022,Starts,07-09-2022,12-09-2022,9,12,2022,0
9,12,2022,Ends,12-09-2022,,,,,1
10,3,2022,Starts,03-10-2022,09-10-2022,10,9,2022,0
10,9,2022,Ends,09-10-2022,,,,,1
10,30,2022,Starts,30-10-2022,04-11-2022,11,4,2022,0
11,4,2022,Ends,04-11-2022,,,,,1
11,27,2022,Starts,27-11-2022,02-12-2022,12,2,2022,0
12,2,2022,Ends,02-12-2022,,,,,1
